Province_State,Country_Region,Lat,Long,Date,Year,Month,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-05 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-06 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-07 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-08 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-09 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-10 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-11 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-12 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-13 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-14 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-15 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-16 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-17 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-18 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-19 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-20 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-21 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-22 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-23 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-24 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-25 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-26 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-27 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-28 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-29 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-30 00:00:00,2020,September,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-01 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-02 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-03 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-04 00:00:00,2020,October,0.0,0.0,0.0
