Country_Region,Lat,Long,Population,Date,Vaccinations
Albania,41.1533,20.1683,2877800,7/4/2021,981499
Albania,41.1533,20.1683,2877800,7/5/2021,994081
Albania,41.1533,20.1683,2877800,7/6/2021,994081
Albania,41.1533,20.1683,2877800,7/7/2021,1005663
Albania,41.1533,20.1683,2877800,7/8/2021,1011297
Albania,41.1533,20.1683,2877800,7/9/2021,1011297
Albania,41.1533,20.1683,2877800,7/10/2021,1016554
Albania,41.1533,20.1683,2877800,7/11/2021,1022802
Albania,41.1533,20.1683,2877800,7/12/2021,1022802
Albania,41.1533,20.1683,2877800,7/13/2021,1029234
Albania,41.1533,20.1683,2877800,7/14/2021,1035667
Albania,41.1533,20.1683,2877800,7/15/2021,1052108
Albania,41.1533,20.1683,2877800,7/16/2021,1052108
Albania,41.1533,20.1683,2877800,7/17/2021,1052108
Albania,41.1533,20.1683,2877800,7/18/2021,1067135
Albania,41.1533,20.1683,2877800,7/19/2021,1067135
Albania,41.1533,20.1683,2877800,7/20/2021,1069365
Albania,41.1533,20.1683,2877800,7/21/2021,1082424
Albania,41.1533,20.1683,2877800,7/22/2021,1095453
Albania,41.1533,20.1683,2877800,7/23/2021,1109785
Albania,41.1533,20.1683,2877800,7/24/2021,1109785
Albania,41.1533,20.1683,2877800,7/25/2021,1109785
Albania,41.1533,20.1683,2877800,7/26/2021,1138771
Albania,41.1533,20.1683,2877800,7/27/2021,1138771
Albania,41.1533,20.1683,2877800,7/28/2021,1138771
Albania,41.1533,20.1683,2877800,7/29/2021,1138771
Albania,41.1533,20.1683,2877800,7/30/2021,1138771
Albania,41.1533,20.1683,2877800,7/31/2021,1190847
Albania,41.1533,20.1683,2877800,8/1/2021,1198933
Albania,41.1533,20.1683,2877800,8/2/2021,1203087
Albania,41.1533,20.1683,2877800,8/3/2021,1212761
Albania,41.1533,20.1683,2877800,8/4/2021,1221640
Albania,41.1533,20.1683,2877800,8/5/2021,1229405
Albania,41.1533,20.1683,2877800,8/6/2021,1238036
Albania,41.1533,20.1683,2877800,8/7/2021,1238036
Albania,41.1533,20.1683,2877800,8/8/2021,1238036
Albania,41.1533,20.1683,2877800,8/9/2021,1259952
Albania,41.1533,20.1683,2877800,8/10/2021,1259952
Albania,41.1533,20.1683,2877800,8/11/2021,1280239
Albania,41.1533,20.1683,2877800,8/12/2021,1280239
Albania,41.1533,20.1683,2877800,8/13/2021,1280239
Albania,41.1533,20.1683,2877800,8/14/2021,1280239
Albania,41.1533,20.1683,2877800,8/15/2021,1280239
Albania,41.1533,20.1683,2877800,8/16/2021,1321198
Albania,41.1533,20.1683,2877800,8/17/2021,1330754
Albania,41.1533,20.1683,2877800,8/18/2021,1340339
Albania,41.1533,20.1683,2877800,8/19/2021,1340339
Albania,41.1533,20.1683,2877800,8/20/2021,1340339
Albania,41.1533,20.1683,2877800,8/21/2021,1340339
Albania,41.1533,20.1683,2877800,8/22/2021,1340339
Albania,41.1533,20.1683,2877800,8/23/2021,1340339
Albania,41.1533,20.1683,2877800,8/24/2021,1386713
Albania,41.1533,20.1683,2877800,8/25/2021,1386713
Albania,41.1533,20.1683,2877800,8/26/2021,1415907
Albania,41.1533,20.1683,2877800,8/27/2021,1415907
Albania,41.1533,20.1683,2877800,8/28/2021,1415907
Albania,41.1533,20.1683,2877800,8/29/2021,1427977
Albania,41.1533,20.1683,2877800,8/30/2021,1444764
Albania,41.1533,20.1683,2877800,8/31/2021,1458048
Albania,41.1533,20.1683,2877800,9/1/2021,1472316
Albania,41.1533,20.1683,2877800,9/2/2021,1485250
Albania,41.1533,20.1683,2877800,9/3/2021,1499898
Albania,41.1533,20.1683,2877800,9/4/2021,1499898
Albania,41.1533,20.1683,2877800,9/5/2021,1499898
Albania,41.1533,20.1683,2877800,9/6/2021,1499898
Albania,41.1533,20.1683,2877800,9/7/2021,1539232
Albania,41.1533,20.1683,2877800,9/8/2021,1539232
Albania,41.1533,20.1683,2877800,9/9/2021,1567313
Albania,41.1533,20.1683,2877800,9/10/2021,1567313
Albania,41.1533,20.1683,2877800,9/11/2021,1579402
Albania,41.1533,20.1683,2877800,9/12/2021,1598196
Albania,41.1533,20.1683,2877800,9/13/2021,1601552
Albania,41.1533,20.1683,2877800,9/14/2021,1610157
Albania,41.1533,20.1683,2877800,9/15/2021,1618111
Albania,41.1533,20.1683,2877800,9/16/2021,1625636
Albania,41.1533,20.1683,2877800,9/17/2021,1632986
Albania,41.1533,20.1683,2877800,9/18/2021,1632986
Albania,41.1533,20.1683,2877800,9/19/2021,1640239
Albania,41.1533,20.1683,2877800,9/20/2021,1649884
Albania,41.1533,20.1683,2877800,9/21/2021,1649884
Albania,41.1533,20.1683,2877800,9/22/2021,1665590
Algeria,28.0339,1.6596,43851043,12/12/2020,0
Algeria,28.0339,1.6596,43851043,12/13/2020,0
Algeria,28.0339,1.6596,43851043,12/14/2020,0
Algeria,28.0339,1.6596,43851043,12/15/2020,0
Algeria,28.0339,1.6596,43851043,12/16/2020,0
Algeria,28.0339,1.6596,43851043,12/17/2020,0
