Country_Region,Lat,Long,Date,Recovered
Afghanistan,33.93911,67.709953,1/17/2021,45868
Afghanistan,33.93911,67.709953,1/18/2021,46359
Afghanistan,33.93911,67.709953,1/19/2021,46554
Afghanistan,33.93911,67.709953,1/20/2021,46759
Afghanistan,33.93911,67.709953,1/21/2021,46887
Afghanistan,33.93911,67.709953,1/22/2021,46912
Afghanistan,33.93911,67.709953,1/23/2021,46943
Afghanistan,33.93911,67.709953,1/24/2021,47298
Afghanistan,33.93911,67.709953,1/25/2021,47365
Afghanistan,33.93911,67.709953,1/26/2021,47459
Afghanistan,33.93911,67.709953,1/27/2021,47549
Afghanistan,33.93911,67.709953,1/28/2021,47583
Afghanistan,33.93911,67.709953,1/29/2021,47606
Afghanistan,33.93911,67.709953,1/30/2021,47609
Afghanistan,33.93911,67.709953,1/31/2021,47679
Afghanistan,33.93911,67.709953,2/1/2021,47723
Afghanistan,33.93911,67.709953,2/2/2021,47798
Afghanistan,33.93911,67.709953,2/3/2021,47982
Afghanistan,33.93911,67.709953,2/4/2021,47995
Afghanistan,33.93911,67.709953,2/5/2021,48018
Afghanistan,33.93911,67.709953,2/6/2021,48027
Afghanistan,33.93911,67.709953,2/7/2021,48041
Afghanistan,33.93911,67.709953,2/8/2021,48042
Afghanistan,33.93911,67.709953,2/9/2021,48109
Afghanistan,33.93911,67.709953,2/10/2021,48133
Afghanistan,33.93911,67.709953,2/11/2021,48279
Afghanistan,33.93911,67.709953,2/12/2021,48390
Afghanistan,33.93911,67.709953,2/13/2021,48392
Afghanistan,33.93911,67.709953,2/14/2021,48395
Afghanistan,33.93911,67.709953,2/15/2021,48433
Afghanistan,33.93911,67.709953,2/16/2021,48514
Afghanistan,33.93911,67.709953,2/17/2021,48626
Afghanistan,33.93911,67.709953,2/18/2021,48798
Afghanistan,33.93911,67.709953,2/19/2021,48803
Afghanistan,33.93911,67.709953,2/20/2021,48820
Afghanistan,33.93911,67.709953,2/21/2021,48834
Afghanistan,33.93911,67.709953,2/22/2021,48895
Afghanistan,33.93911,67.709953,2/23/2021,48967
Afghanistan,33.93911,67.709953,2/24/2021,49086
Afghanistan,33.93911,67.709953,2/25/2021,49281
Afghanistan,33.93911,67.709953,2/26/2021,49285
Afghanistan,33.93911,67.709953,2/27/2021,49288
Afghanistan,33.93911,67.709953,2/28/2021,49333
Afghanistan,33.93911,67.709953,3/1/2021,49344
Afghanistan,33.93911,67.709953,3/2/2021,49347
Afghanistan,33.93911,67.709953,3/3/2021,49359
Afghanistan,33.93911,67.709953,3/4/2021,49362
Afghanistan,33.93911,67.709953,3/5/2021,49362
Afghanistan,33.93911,67.709953,3/6/2021,49369
Afghanistan,33.93911,67.709953,3/7/2021,49378
Afghanistan,33.93911,67.709953,3/8/2021,49402
Afghanistan,33.93911,67.709953,3/9/2021,49409
Afghanistan,33.93911,67.709953,3/10/2021,49499
Afghanistan,33.93911,67.709953,3/11/2021,49499
Afghanistan,33.93911,67.709953,3/12/2021,49499
Afghanistan,33.93911,67.709953,3/13/2021,49471
Afghanistan,33.93911,67.709953,3/14/2021,49477
Afghanistan,33.93911,67.709953,3/15/2021,49481
Afghanistan,33.93911,67.709953,3/16/2021,49499
Afghanistan,33.93911,67.709953,3/17/2021,49536
Afghanistan,33.93911,67.709953,3/18/2021,49664
Afghanistan,33.93911,67.709953,3/19/2021,49681
Afghanistan,33.93911,67.709953,3/20/2021,49681
Afghanistan,33.93911,67.709953,3/21/2021,49737
Afghanistan,33.93911,67.709953,3/22/2021,49743
Afghanistan,33.93911,67.709953,3/23/2021,49752
Afghanistan,33.93911,67.709953,3/24/2021,49802
Afghanistan,33.93911,67.709953,3/25/2021,49937
Afghanistan,33.93911,67.709953,3/26/2021,49994
Afghanistan,33.93911,67.709953,3/27/2021,49994
Afghanistan,33.93911,67.709953,3/28/2021,50013
Afghanistan,33.93911,67.709953,3/29/2021,50666
Afghanistan,33.93911,67.709953,3/30/2021,51473
Afghanistan,33.93911,67.709953,3/31/2021,51550
Afghanistan,33.93911,67.709953,4/1/2021,51788
Afghanistan,33.93911,67.709953,4/2/2021,51798
Afghanistan,33.93911,67.709953,4/3/2021,51802
Afghanistan,33.93911,67.709953,4/4/2021,51885
Afghanistan,33.93911,67.709953,4/5/2021,51902
Afghanistan,33.93911,67.709953,4/6/2021,51928
