row_names,id,security_name,ticker,sp500_weight,sec_type,major_asset_class,minor_asset_class
34,34,Danaher Corporation,DHR,0.55215,common_share,equity,large_cap
29,29,Walt Disney Company,DIS,0.60599,common_share,equity,large_cap
384,384,iPath Bloomberg Commodity Index Total Return ETN,DJP,,etf,commodities,precious_metals
210,210,Digital Realty Trust Inc.,DLR,0.10282,common_share,equity,large_cap
231,231,Dollar Tree Inc.,DLTR,0.09385,common_share,equity,large_cap
339,339,Dover Corporation,DOV,0.05415,common_share,equity,large_cap
199,199,Dow Inc.,DOW,0.10771,common_share,equity,large_cap
295,295,Duke Realty Corporation,DRE,0.06801,common_share,equity,large_cap
358,358,Darden Restaurants Inc.,DRI,0.04974,common_share,equity,large_cap
266,266,DTE Energy Company,DTE,0.0768,common_share,equity,large_cap
85,85,Duke Energy Corporation,DUK,0.249,common_share,equity,large_cap
173,173,Devon Energy Corporation,DVN,0.12527,common_share,equity,large_cap
201,201,DexCom Inc.,DXCM,0.10647,common_share,equity,large_cap
204,204,Electronic Arts Inc.,EA,0.1059,common_share,equity,large_cap
276,276,eBay Inc.,EBAY,0.07337,common_share,equity,large_cap
174,174,Ecolab Inc.,ECL,0.12518,common_share,equity,large_cap
205,205,Consolidated Edison Inc.,ED,0.10498,common_share,equity,large_cap
284,284,Equifax Inc.,EFX,0.07038,common_share,equity,large_cap
267,267,Edison International,EIX,0.07657,common_share,equity,large_cap
132,132,Estee Lauder Companies Inc. Class A,EL,0.17023,common_share,equity,large_cap
63,63,Elevance Health Inc.,ELV,0.35013,common_share,equity,large_cap
